atp6-m1	177
atp6-m2	269
atp6-m3	146
cob-m1	201
cob-m2	154
cob-m3	139
cob-m4	198
cob-m5	279
cob-m6	122
cox1-m1	189
cox1-m2	124
cox1-m3	263
cox1-m4	226
cox1-m5	180
cox1-m6	172
cox1-m7	90
cox1-m8	110
cox1-m9	257
cox2-m1	239
cox2-m2	160
cox2-m3	76
cox2-m4	125
cox3-m1	345
cox3-m2	265
cox3-m3	231
nad1-m1	192
nad1-m2	114
nad1-m3	166
nad1-m4	228
nad1-m5	205
nad2-m1	194
nad2-m2	112
nad2-m2	112
nad2-m3	140
nad2-m4	362
nad2-m5	140
nad3-m1	247
nad3-m2	105
nad4-m1	292
nad4-m2	228
nad4-m3	169
nad4-m4	134
nad4-m5	74
nad4-m6	165
nad4-m7	120
nad4-m8	165
nad4L-m1	193
nad4L-m2	44
nad5-m1	303
nad5-m10	122
nad5-m11	77
nad5-m2	221
nad5-m3	68
nad5-m4	182
nad5-m5	136
nad5-m6	122
nad5-m7	198
nad5-m8	93
nad5-m9	188
nad6-m1	198
nad6-m2	108
nad6-m3	61
nad7-m1	167
nad7-m2	76
nad7-m3	139
nad7-m4	66
nad7-m5	186
nad7-m6	66
nad7-m7	169
nad7-m8	187
nad7-m9	89
nad8-m1	144
nad8-m2	154
nad8-m3	88
nad9-m1	247
nad9-m2	100
nad9-m3	84
nad9-m4	69
rnl-m1	561
rnl-m2	364
rns-m1	264
rns-m2	114
y4-m1	138
y4-m2	234
